exists:True, test: 100,food:burger: <100, 354>, highest:185
exists:True, test: 100,food:burger: <100, 354>, highest:185
exists:True, test: 100,food:burger: <100, 354>, highest:185
exists:True, test: 100,food:burger: <100, 354>, highest:185
exists:True, test: 100,food:burger: <100, 354>, highest:185
exists:True, test: 100,food:burger: <100, 354>, highest:185
exists:True, test: 100,food:burger: <100, 354>, highest:185
exists:True, test: 100,food:burger: <100, 354>, highest:185
exists:True, test: 100,food:burger: <100, 354>, highest:185
exists:True, test: 100,food:burger: <100, 354>, highest:185
exists:True, test: 100,food:burger: <100, 354>, highest:185
exists:True, test: 100,food:burger: <100, 354>, highest:185
exists:True, test: 100,food:burger: <100, 354>, highest:185
exists:True, test: 100,food:burger: <100, 354>, highest:189
exists:True, test: 100,food:burger: <100, 354>, highest:189
exists:True, test: 100,food:burger: <100, 354>, highest:189
exists:True, test: 100,food:burger: <100, 354>, highest:189
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:234
exists:True, test: 100,food:burger: <100, 354>, highest:235
exists:True, test: 100,food:burger: <100, 354>, highest:235
exists:True, test: 100,food:burger: <100, 354>, highest:235
exists:True, test: 100,food:burger: <100, 354>, highest:235
exists:True, test: 100,food:burger: <100, 354>, highest:235
exists:True, test: 100,food:burger: <100, 354>, highest:235
exists:True, test: 100,food:burger: <100, 354>, highest:235
exists:True, test: 100,food:burger: <100, 354>, highest:235
exists:True, test: 100,food:burger: <100, 354>, highest:235
exists:True, test: 100,food:burger: <100, 354>, highest:235
exists:True, test: 100,food:burger: <100, 354>, highest:235
exists:True, test: 100,food:burger: <100, 354>, highest:235
exists:True, test: 100,food:burger: <100, 354>, highest:235
exists:True, test: 100,food:burger: <100, 354>, highest:235
exists:True, test: 100,food:burger: <100, 354>, highest:235
exists:True, test: 100,food:burger: <100, 354>, highest:235
exists:True, test: 100,food:burger: <100, 354>, highest:235
exists:True, test: 100,food:burger: <100, 354>, highest:235
exists:True, test: 100,food:burger: <100, 354>, highest:235
exists:True, test: 100,food:burger: <100, 354>, highest:235
exists:True, test: 100,food:burger: <100, 354>, highest:235
exists:True, test: 100,food:burger: <100, 354>, highest:235
exists:True, test: 100,food:burger: <100, 354>, highest:235
exists:True, test: 100,food:burger: <100, 354>, highest:235
exists:True, test: 100,food:burger: <100, 354>, highest:263
exists:True, test: 100,food:burger: <100, 354>, highest:263
exists:True, test: 100,food:burger: <100, 354>, highest:263
exists:True, test: 100,food:burger: <100, 354>, highest:263
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
exists:True, test: 100,food:burger: <100, 354>, highest:274
